"cases_time_series__dailyconfirmed","cases_time_series__dailydeceased","cases_time_series__dailyrecovered","cases_time_series__date","cases_time_series__dateymd","cases_time_series__totalconfirmed","cases_time_series__totaldeceased","cases_time_series__totalrecovered","statewise__active","statewise__confirmed","statewise__deaths","statewise__deltaconfirmed","statewise__deltadeaths","statewise__deltarecovered","statewise__lastupdatedtime","statewise__migratedother","statewise__recovered","statewise__state","statewise__statecode","statewise__statenotes","tested__dailyrtpcrsamplescollectedicmrapplication","tested__firstdoseadministered","tested__frontlineworkersvaccinated","tested__healthcareworkersvaccinated","tested__positivecasesfromsamplesreported","tested__samplereportedtoday","tested__seconddoseadministered","tested__source","tested__source2","tested__source3","tested__source4","tested__testedasof","tested__testsconductedbyprivatelabs","tested__totaldosesadministered","tested__totalindividualstested","tested__totalindividualsvaccinated","tested__totalpositivecases","tested__totalrtpcrsamplescollectedicmrapplication","tested__totalsamplestested","tested__totalsessionsconducted","tested__updatetimestamp"
"0","0","0","09 February ","2020-02-09","3","0","0","1245","319543","2785","82","0","137","21/02/2021 19:31:27","0","315513","Rajasthan","RJ","","","","","","","","","ICMR_website_update_23March_10AM_IST.pdf","","","","23/03/2020","","","17493","","415","","18383","","23/03/2020 10:00:00"
"0","0","0","10 February ","2020-02-10","3","0","0","1731","297598","1624","163","1","146","21/02/2021 10:29:28","0","294243","Telangana","TG","[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states.","","","","","","","","ICMR_website_update_23March_8PM_IST.pdf","","","","23/03/2020","","","19817","","471","","20707","","23/03/2020 20:00:00"
"0","0","0","11 February ","2020-02-11","3","0","0","3102","310732","3795","0","0","0","20/02/2021 22:04:47","0","303835","Chhattisgarh","CT","","","","","","","","","ICMR_website_update_24March_10AM_IST.pdf","","","","24/03/2020","","","19974","","482","","20864","","24/03/2020 10:00:00"
"0","0","0","12 February ","2020-02-12","3","0","0","861","269730","3042","121","0","76","21/02/2021 19:42:33","0","265827","Haryana","HR","","","","","","","","","ICMR_website_update_24March_8PM_IST.pdf","","","","24/03/2020","","","21804","","536","","22694","","24/03/2020 20:00:00"
"0","0","1","13 February ","2020-02-13","3","0","1","536","262160","1535","94","1","58","21/02/2021 20:18:33","1","260088","Bihar","BR","","","","","","","","","ICMR_website_update_25March_10AM_IST.pdf","","","","25/03/2020","","","22038","","539","","22928","","25/03/2020 10:00:00"
"0","0","0","14 February ","2020-02-14","3","0","1","1690","267104","4405","283","1","264","21/02/2021 20:30:31","0","261009","Gujarat","GJ","","","","","","","","","ICMR_website_update_25March_8PM_IST.pdf","","","","25/03/2020","","","24254","","581","","25144","","25/03/2020 20:00:00"
"0","0","0","15 February ","2020-02-15","3","0","1","1994","259128","3850","0","0","0","20/02/2021 22:46:33","0","253284","Madhya Pradesh","MP","[Oct 14]: 4469 confirmed cases and 4469 recoveries added in MP bulletin as reconciliation with private labs and hospitals","","","","","","","","","","","","26/03/2020","","","","","","","","","26/03/2020 10:00:00"
"0","0","1","16 February ","2020-02-16","3","0","2","269","217383","1091","0","0","0","20/02/2021 22:46:35","1347","214676","Assam","AS","[Jan 1]: 1347 cases i.e Covid +'tive patients dead for other reasons have been deducted fom active count.","","","","","","","","ICMR_website_update_27March_9AM_IST.pdf","","","","26/03/2020","","","26798","","691","","27688","","27/03/2020 09:00:00"
"0","0","0","17 February ","2020-02-17","3","0","2","3019","178459","5754","348","6","206","21/02/2021 20:40:30","0","169686","Punjab","PB","","","","","","","","","MoH Press conference with Dr. Raman G","","","","30/03/2020","1334","","","","","","38442","","30/03/2020 00:00:00"
"0","0","0","18 February ","2020-02-18","3","0","2","721","125867","1954","84","0","63","21/02/2021 19:10:28","0","123192","Jammu and Kashmir","JK","","","","","","","","","MoH Press conference with Dr. Raman G","","","","31/03/2020","1733","","","","","","42788","","31/03/2020 00:00:00"
"0","0","0","19 February ","2020-02-19","3","0","2","459","119565","1084","0","0","0","20/02/2021 22:46:37","0","118022","Jharkhand","JH","","","","","","","","","https://twitter.com/PTI_News/status/1245308976440340482","","","","01/04/2020","4562","","","","1637","","47951","","01/04/2020 00:00:00"
"0","0","1","20 February ","2020-02-20","3","0","3","457","96687","1687","30","1","16","21/02/2021 19:58:45","1385","93158","Uttarakhand","UT","[Oct 30]: Metric of capturing the testing data has switched to ""Samples Tested"" from ""Samples Collected""","","","","","","","","ICMR_testing_update_02April_9PM_IST.pdf","","","","02/04/2020","","","","","2056","","55851","","02/04/2020 21:00:00"
"0","0","0","21 February ","2020-02-21","3","0","3","234","58385","982","19","1","36","21/02/2021 20:18:36","13","57156","Himachal Pradesh","HP","","","","","","","","","ICMR_testing_update_03April_9AM_IST.pdf","","","","03/04/2020","","","","","2183","","56680","","03/04/2020 09:00:00"
"0","0","0","22 February ","2020-02-22","3","0","3","488","54562","787","39","0","44","21/02/2021 19:10:31","0","53287","Goa","GA","","","","","","575","10034","","ICMR_testing_update_03April_9PM_IST.pdf","","","","03/04/2020","","","","","2653","","69245","","03/04/2020 21:00:00"
"0","0","0","23 February ","2020-02-23","3","0","3","192","39592","663","23","1","18","21/02/2021 19:31:32","0","38737","Puducherry","PY","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf","","","","04/04/2020","","","","","3113","","79950","","04/04/2020 21:00:00"
"0","0","0","24 February ","2020-02-24","3","0","3","40","33389","388","0","0","0","20/02/2021 12:21:23","23","32938","Tripura","TR","[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states.","","","","","295","9369","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf","","","","05/04/2020","","","","","3554","","89534","","05/04/2020 21:00:00"
"0","0","0","25 February ","2020-02-25","3","0","3","80","29237","373","4","0","8","21/02/2021 19:42:42","0","28784","Manipur","MN","[Dec 14]:824 out of 980 recovered cases are backdated.","","","","","311","11432","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf","","","","06/04/2020","","","","","4135","","101068","","06/04/2020 21:00:00"
"0","0","0","26 February ","2020-02-26","3","0","3","186","21425","349","28","0","11","21/02/2021 20:40:32","0","20890","Chandigarh","CH","","","","","","285","12584","","ICMR_testing_update_07April_9PM_IST.pdf","","","","07/04/2020","","","","","4616","","114015","","07/04/2020 21:00:00"
"0","0","0","27 February ","2020-02-27","3","0","3","5","16836","56","0","0","0","18/02/2021 21:19:43","0","16775","Arunachal Pradesh","AR","[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.","","","","","320","13143","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf","","","","08/04/2020","","","","","5114","","127919","","08/04/2020 21:00:00"
"0","0","0","28 February ","2020-02-28","3","0","3","22","13952","148","0","0","4","21/02/2021 19:42:44","0","13782","Meghalaya","ML","","","","","","320","16002","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf","","","","09/04/2020","","","130792","","5705","","144910","","09/04/2020 21:00:00"
"0","0","0","29 February ","2020-02-29","3","0","3","13","12192","91","1","0","6","21/02/2021 19:42:46","152","11936","Nagaland","NL","","","","","","433","15663","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf","","","","10/04/2020","","","147034","","6872","","161330","","10/04/2020 21:00:00"
"0","0","0","01 March ","2020-03-01","3","0","3","41","9786","130","0","0","0","19/02/2021 23:22:42","0","9615","Ladakh","LA","","","","","","600","17143","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf","","","","11/04/2020","","","164773","","7703","","179374","","11/04/2020 21:00:00"
"2","0","0","02 March ","2020-03-02","5","0","3","53","6128","135","0","0","0","20/02/2021 23:16:34","97","5843","Sikkim","SK","","","","","","544","15,583","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf","","","","12/04/2020","","","181028","","8312","","195748","","12/04/2020 21:00:00"
"1","0","0","03 March ","2020-03-03","6","0","3","3","5014","62","0","0","0","21/02/2021 01:40:28","0","4949","Andaman and Nicobar Islands","AN","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf","","","","13/04/2020","","","202551","","9341","","217554","","13/04/2020 21:00:00"
"22","0","0","04 March ","2020-03-04","28","0","3","22","4409","10","2","0","0","21/02/2021 19:31:41","0","4377","Mizoram","MZ","","","","","","853","26351","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf","","","","14/04/2020","","","229426","","10307","","244893","","14/04/2020 21:00:00"
"2","0","0","05 March ","2020-03-05","30","0","3","2","3384","2","0","0","2","21/02/2021 19:31:42","29","3351","Dadra and Nagar Haveli and Daman and Diu","DN","","","","","","953","28941","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf","","","","15/04/2020","","","258730","","11297","","274599","","15/04/2020 21:00:00"
"1","0","0","06 March ","2020-03-06","31","0","3","0","0","0","0","0","0","19/07/2020 09:40:01","0","0","State Unassigned","UN","MoHFW website reports that these are the 'cases that are being reassigned to states'. ","","","","","1206","27256","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf","","","","16/04/2020","","","286714","","12,581","","302956","","16/04/2020 21:00:00"
"3","0","0","07 March ","2020-03-07","34","0","3","85","277","0","0","0","0","20/02/2021 22:46:46","3","189","Lakshadweep","LD","","","","","","1443","31083","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf","","","","17/04/2020","","","318449","","14098","","335123","","17/04/2020 21:00:00"
"5","0","0","08 March ","2020-03-08","39","0","3","","","","","","","","","","","","","","","","","2154","35494","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf","","","","18/04/2020","","","354969","","16365","","372123","","18/04/2020 21:00:00"
"9","0","0","09 March ","2020-03-09","48","0","3","","","","","","","","","","","","","","","","","1135","27824","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf","","","","19/04/2020","","","383985","","17615","","401586","","19/04/2020 21:00:00"
"15","0","1","10 March ","2020-03-10","63","0","4","","","","","","","","","","","","","","","","","","","","","","","","20/04/2020","","","","","","","","","20/04/2020 21:00:00"
"8","0","0","11 March ","2020-03-11","71","0","4","","","","","","","","","","","","","","","","","","26943","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_21April_9PM_IST.pdf","","","","21/04/2020","","","447812","","","","462621","","21/04/2020 21:00:00"
"10","1","0","12 March ","2020-03-12","81","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22/04/2020 21:00:00"
"10","0","6","13 March ","2020-03-13","91","1","10","","","","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf","","","","22/04/2020","","","485172","","21797","","500542","","23/04/2020 09:00:00"
"11","1","0","14 March ","2020-03-14","102","2","10","","","","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_24Apr2020_9AM_IST.pdf","","","","23/04/2020","","","525667","","23502","","541789","","24/04/2020 09:00:00"
"10","0","3","15 March ","2020-03-15","112","2","13","","","","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_25Apr2020_9AM_IST.pdf","","","","24/04/2020","","","","","","","579957","","25/04/2020 09:00:00"
"14","0","1","16 March ","2020-03-16","126","2","14","","","","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf","","","","25/04/2020","","","","","","","625309","","26/04/2020 09:00:00"
"20","1","1","17 March ","2020-03-17","146","3","15","","","","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_27Apr2020_9AM_IST.pdf","","","","26/04/2020","","","","","","","665819","","27/04/2020 09:00:00"
"25","0","0","18 March ","2020-03-18","171","3","15","","","","","","","","","","","","","","","","","","","","https://www.icmr.nic.in/pdf/covid/update/ICMR_testing_update_28Apr2020_9AM_IST.pdf","","","","27/04/2020","","","","","","","716733","","28/04/2020 09:00:00"
"27","1","5","19 March ","2020-03-19","198","4","20","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Apr2020_9AM_IST.pdf","","","","28/04/2020","","","","","","","770764","","29/04/2020 09:00:00"
"58","0","3","20 March ","2020-03-20","256","4","23","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Apr2020_9AM_IST.pdf","","","","29/04/2020","","","","","","","830201","","30/04/2020 09:00:00"
"78","0","0","21 March ","2020-03-21","334","4","23","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01May2020_9AM_IST.pdf","","","","30/04/2020","","","","","","","902654","","01/05/2020 09:00:00"
"69","3","0","22 March ","2020-03-22","403","7","23","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02May2020_9AM_IST.pdf","","","","01/05/2020","","","","","","","976363","","02/05/2020 09:00:00"
"94","2","2","23 March ","2020-03-23","497","9","25","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03May2020_9AM_IST.pdf","","","","02/05/2020","","","","","","","1046450","","03/05/2020 09:00:00"
"74","1","15","24 March ","2020-03-24","571","10","40","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04May2020_9AM_IST.pdf","","","","03/05/2020","","","","","","","1107233","","04/05/2020 09:00:00"
"86","1","3","25 March ","2020-03-25","657","11","43","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_05May2020_9AM_IST.pdf","","","","04/05/2020","","","","","","","1191946","","05/05/2020 09:00:00"
"73","5","7","26 March ","2020-03-26","730","16","50","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf","","","","05/05/2020","","","","","","","1276781","","06/05/2020 09:00:00"
"153","3","25","27 March ","2020-03-27","883","19","75","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf","","","","06/05/2020","","","","","","","1357413","","07/05/2020 09:00:00"
"136","5","10","28 March ","2020-03-28","1019","24","85","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf","","","","07/05/2020","","","","","","","1437788","","08/05/2020 09:00:00"
"120","3","17","29 March ","2020-03-29","1139","27","102","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf","","","","08/05/2020","","","","","","","1523213","","09/05/2020 09:00:00"
"187","14","35","30 March ","2020-03-30","1326","41","137","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf","","","","09/05/2020","","","","","","","1609037","","10/05/2020 09:00:00"
"309","6","13","31 March ","2020-03-31","1635","47","150","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf","","","","10/05/2020","","","","","","","1673688","","11/05/2020 09:00:00"
"424","6","19","01 April ","2020-04-01","2059","53","169","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf","","","","11/05/2020","","","","","","","1759579","","12/05/2020 09:00:00"
"486","16","22","02 April ","2020-04-02","2545","69","191","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_13May2020_9AM_IST.pdf","","","","12/05/2020","","","","","","","1854250","","13/05/2020 09:00:00"
"560","14","39","03 April ","2020-04-03","3105","83","230","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_14May2020_9AM_IST.pdf","","","","13/05/2020","","","","","","","1947041","","14/05/2020 09:00:00"
"579","13","56","04 April ","2020-04-04","3684","96","286","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_15May2020_9AM_IST.pdf","","","","14/05/2020","","","","","","","2039952","","15/05/2020 09:00:00"
"609","22","43","05 April ","2020-04-05","4293","118","329","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_16May2020_9AM_IST.pdf","","","","15/05/2020","","","","","","","2134277","","16/05/2020 09:00:00"
"484","16","65","06 April ","2020-04-06","4777","134","394","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_17May2020_9AM_IST.pdf","","","","16/05/2020","","","","","","","2227642","","17/05/2020 09:00:00"
"573","27","75","07 April ","2020-04-07","5350","161","469","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_18May2020_9AM_IST.pdf","","","","17/05/2020","","","","","","","2302792","","18/05/2020 09:00:00"
"565","20","96","08 April ","2020-04-08","5915","181","565","","","","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_19May2020_9AM_IST.pdf","","","","18/05/2020","","","","","","","2404267","","19/05/2020 09:00:00"
"813","46","70","09 April ","2020-04-09","6728","227","635","","","","","","","","","","","","","","","","","","108121","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_20May2020_9AM_IST.pdf","","","","19/05/2020","","","","","","","2512388","","20/05/2020 09:00:00"
"871","22","151","10 April ","2020-04-10","7599","249","786","","","","","","","","","","","","","","","","","","103532","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_21May2020_9AM_IST.pdf","","","","20/05/2020","","","","","","","2615920","","21/05/2020 09:00:00"
"854","41","186","11 April ","2020-04-11","8453","290","972","","","","","","","","","","","","","","","","","","103514","","https://t.me/Covid19india_Auxiliary_Test_Data/99","","","","21/05/2020","","","","","","","2719434","","22/05/2020 09:00:00"
"758","42","114","12 April ","2020-04-12","9211","332","1086","","","","","","","","","","","","","","","","","","115364","","https://t.me/Covid19india_Auxiliary_Test_Data/110","","","","22/05/2020","","","","","","","2834798","","23/05/2020 09:00:00"
"1243","27","112","13 April ","2020-04-13","10454","359","1198","","","","","","","","","","","","","","","","","","108623","","https://t.me/Covid19india_Auxiliary_Test_Data/129","","","","23/05/2020","","","","","","","2943421","","24/05/2020 09:00:00"
"1031","37","167","14 April ","2020-04-14","11485","396","1365","","","","","","","","","","","","","","","","","","90170","","https://t.me/Covid19india_Auxiliary_Test_Data/146","","","","24/05/2020","","","","","","","3033591","","25/05/2020 09:00:00"
"886","27","144","15 April ","2020-04-15","12371","423","1509","","","","","","","","","","","","","","","","","","92528","","https://t.me/Covid19india_Auxiliary_Test_Data/160","","","","25/05/2020","","","","","","","3126119","","26/05/2020 09:00:00"
"1061","26","258","16 April ","2020-04-16","13432","449","1767","","","","","","","","","","","","","","","","","","116041","","https://t.me/Covid19india_Auxiliary_Test_Data/177","","","","26/05/2020","","","","","","","3242160","","27/05/2020 09:00:00"
"922","38","273","17 April ","2020-04-17","14354","487","2040","","","","","","","","","","","","","","","","","","119976","","https://t.me/Covid19india_Auxiliary_Test_Data/194","","","","27/05/2020","","","","","","","3362136","","28/05/2020 09:00:00"
"1371","35","426","18 April ","2020-04-18","15725","522","2466","","","","","","","","","","","","","","","","","","121702","","https://t.me/Covid19india_Auxiliary_Test_Data/211","","","","28/05/2020","","","","","","","3483838","","29/05/2020 09:00:00"
"1580","38","388","19 April ","2020-04-19","17305","560","2854","","","","","","","","","","","","","","","","","","127761","","https://t.me/Covid19india_Auxiliary_Test_Data/228","","","","29/05/2020","","","","","","","3611599","","30/05/2020 09:00:00"
"1239","33","419","20 April ","2020-04-20","18544","593","3273","","","","","","","","","","","","","","","","","","125428","","https://t.me/Covid19india_Auxiliary_Test_Data/236","","","","30/05/2020","","","","","","","3737027","","31/05/2020 09:00:00"
"1537","53","703","21 April ","2020-04-21","20081","646","3976","","","","","","","","","","","","","","","","","","100180","","https://t.me/Covid19india_Auxiliary_Test_Data/253","","","","31/05/2020","","","","","","1624406","3837207","","01/06/2020 09:00:00"
"1292","36","394","22 April ","2020-04-22","21373","682","4370","","","","","","","","","","","","","89644","","","","","128868","","https://twitter.com/ICMRDELHI/status/1267665101781266433?s=20","","","","01/06/2020","","","","","","1714050","3966075","","02/06/2020 09:00:00"
"1667","40","642","23 April ","2020-04-23","23040","722","5012","","","","","","","","","","","","","84339","","","","","137158","","https://twitter.com/ICMRDELHI/status/1268030064467165184?s=19","","","","02/06/2020","","","","","","1798389","4103233","","03/06/2020 09:00:00"
"1408","59","484","24 April ","2020-04-24","24448","781","5496","","","","","","","","","","","","","84519","","","","","139485","","https://t.me/Covid19india_Auxiliary_Test_Data/294","","","","03/06/2020","","","","","","1882908","4242718","","04/06/2020 09:00:00"
"1835","44","442","25 April ","2020-04-25","26283","825","5938","","","","","","","","","","","","","86201","","","","","143661","","https://t.me/Covid19india_Auxiliary_Test_Data/313","","","","04/06/2020","","","","","","1969109","4386379","","05/06/2020 09:00:00"
"1607","56","585","26 April ","2020-04-26","27890","881","6523","","","","","","","","","","","","","88580","","","","","137938","","https://twitter.com/ICMRDELHI/status/1269111826618302464?s=19","","","","05/06/2020","","","","","","2057689","4524317","","06/06/2020 09:00:00"
"1568","58","580","27 April ","2020-04-27","29458","939","7103","","","","","","","","","","","","","57905","","","","","142069","","https://t.me/Covid19india_Auxiliary_Test_Data/340","","","","06/06/2020","","","","","","2115594","4666386","","07/06/2020 09:00:00"
"1902","69","636","28 April ","2020-04-28","31360","1008","7739","","","","","","","","","","","","","98544","","","","","108048","","https://t.me/Covid19india_Auxiliary_Test_Data/355","","","","07/06/2020","","","","","","2214138","4774434","","08/06/2020 09:00:00"
"1705","71","690","29 April ","2020-04-29","33065","1079","8429","","","","","","","","","","","","","95480","","","","","141682","","https://t.me/Covid19india_Auxiliary_Test_Data/374","","","","08/06/2020","","","","","","2309618","4916116","","09/06/2020 09:00:00"
"1801","75","630","30 April ","2020-04-30","34866","1154","9059","","","","","","","","","","","","","98838","","","","","145216","","https://t.me/Covid19india_Auxiliary_Test_Data/388","","","","09/06/2020","","","","","","2408456","5061332","","10/06/2020 09:00:00"
